timestamp,temp,humid,radn,wind,rainfall,battery
2024-10-24 01:32:00,9.39,91.19,78,0,0.0,
2024-10-24 01:33:00,9.39,91.15,78,0,0.0,
2024-10-24 01:34:00,9.43,91.27,78,0,0.0,
2024-10-24 01:35:00,9.4,91.2,78,0,0.9,
2024-10-24 01:36:00,9.41,91.13,78,0,0.9,
2024-10-24 01:37:00,9.41,90.98,77,0,0.9,
2024-10-24 01:38:00,9.41,91.09,77,0,0.9,
2024-10-24 01:39:00,9.44,91.11,77,0,0.9,
2024-10-24 01:40:00,9.46,90.92,77,0,0.9,
2024-10-24 01:41:00,9.44,90.86,77,0,0.0,
2024-10-24 01:42:00,9.41,90.82,77,0,0.9,
2024-10-24 01:43:00,9.43,90.67,77,0,0.9,
2024-10-24 01:44:00,9.4,90.57,77,0,0.0,
2024-10-24 01:45:00,9.39,90.63,77,0,0.0,
2024-10-24 01:46:00,9.37,90.64,77,0,0.9,
2024-10-24 01:47:00,9.41,90.8,77,0,0.9,
2024-10-24 01:48:00,9.4,90.6,77,0,0.9,
2024-10-24 01:49:00,9.41,90.76,77,0,0.9,
2024-10-24 01:50:00,9.44,90.88,77,0,0.0,
2024-10-24 01:51:00,9.44,90.75,77,0,0.9,
2024-10-24 01:52:00,9.41,90.59,77,0,0.0,
2024-10-24 01:53:00,9.43,90.63,77,0,0.0,
2024-10-24 01:54:00,9.41,90.62,77,0,0.0,
2024-10-24 01:55:00,9.4,90.5,77,0,0.0,
2024-10-24 01:56:00,9.4,90.49,77,0,0.0,
2024-10-24 01:57:00,9.39,90.41,77,0,0.9,
2024-10-24 01:58:00,9.39,90.47,77,0,0.9,
2024-10-24 01:59:00,9.39,90.5,77,0,0.0,
2024-10-24 02:00:00,9.34,90.46,77,0,0.0,
2024-10-24 02:01:00,9.39,90.65,77,0,0.9,
2024-10-24 02:02:00,9.36,90.5,77,0,0.9,
2024-10-24 02:03:00,9.36,90.45,77,0,0.9,
2024-10-24 02:04:00,9.39,90.6,77,0,0.9,
2024-10-24 02:05:00,9.37,90.64,77,0,0.0,
2024-10-24 02:06:00,9.36,90.68,77,0,0.0,
2024-10-24 02:07:00,9.34,90.5,77,0,0.9,
